Year,CF_mv
2013,474.0099461911614
2014,446.0416191433277
2015,270.51408423032615
2016,252.21697438203853
2017,255.104589006299
2018,332.40953790555454
2019,394.7436011330625
2020,168.09369916701206
2021,121.54142868890865
2022,108.47025277604797
2023,97.32073678808243
2024,167.88657258861645
