Year,ISIN,Weight
2013,CA0084741085,0.0008303409934594682
2013,CA4969024047,0.015238358224181434
2013,CA8029121057,0.007420464840009676
2013,US00971T1016,0.008832220018442489
2013,US02209S1033,0.006544003128994308
2013,US0718131099,0.01443077752377274
2013,US1890541097,0.04170179434570142
2013,US2091151041,0.06963900235762457
2013,US28176E1082,0.00580462019407839
2013,US29670G1022,0.009332470590037672
2013,US3021301094,0.0075154123267484555
2013,US30231G1022,0.03477731866157516
2013,US3703341046,0.11136266745566649
2013,US37045V1008,0.016106675315398822
2013,US4278661081,0.09420245957340452
2013,US4404521001,0.006597589261209231
2013,US4878361082,0.054711874068651745
2013,US4943681035,0.00849258411521938
2013,US6516391066,0.0429719950436779
2013,US69331C1080,0.04216260923113788
2013,US69351T1060,0.05504849332536258
2013,US74834L1008,0.0845488455856216
2013,US8425871071,0.045297843743520666
2013,US8725401090,0.04800387627942238
2013,US92939U1060,0.03811588803419624
2013,US9311421039,0.13030981576288478
2014,CA0084741085,0.010280025568142831
2014,CA4969024047,0.004629824419045373
2014,CA8029121057,0.016880241452805214
2014,US00971T1016,0.009392879805066834
2014,US02209S1033,0.02855603387072403
2014,US0718131099,0.03589470345398013
2014,US1344291091,0.001180976018445212
2014,US1890541097,0.07196710610965375
2014,US2091151041,0.05315751877203694
2014,US3021301094,0.012290479510217606
2014,US30231G1022,0.018006761889936173
2014,US3703341046,0.10409553677082185
2014,US37045V1008,0.01569047273399698
2014,US3755581036,0.00253386447517819
2014,US4278661081,0.109352118247693
2014,US4592001014,0.014410076717103523
2014,US4943681035,0.011049710668593447
2014,US5801351017,0.016021341307170846
2014,US6516391066,0.040903105471800004
2014,US69331C1080,0.04209289382691416
2014,US69351T1060,0.055128828202073085
2014,US74834L1008,0.09903897304502085
2014,US8425871071,0.0801168348392881
2014,US8725401090,0.022664910964633998
2014,US9311421039,0.12466478185965794
2015,CA0084741085,0.011716000766197048
2015,CA4969024047,0.0006553439530397383
2015,CA8029121057,0.03126665031958586
2015,US00971T1016,0.009851615075447758
2015,US0718131099,0.03623725057181298
2015,US1307881029,0.015643792507091966
2015,US1344291091,1.0536588000484512e-05
2015,US1890541097,0.0386050157438369
2015,US2091151041,0.07851810173422549
2015,US29670G1022,0.0005000585991350808
2015,US3021301094,0.029543352223383206
2015,US30231G1022,0.05120677381885013
2015,US3703341046,0.1447355526038936
2015,US37045V1008,0.007250107198368237
2015,US4278661081,0.11251310858088247
2015,US4404521001,0.00023890689073025398
2015,US4592001014,0.026225764133605025
2015,US5801351017,0.023817222240535403
2015,US6516391066,0.03946827118362762
2015,US69331C1080,0.020585402791556753
2015,US69351T1060,0.03536537913823486
2015,US74834L1008,0.07875000239236347
2015,US8425871071,0.05529642762453892
2015,US8725401090,0.034293170346753256
