Year,N_firms,N_nonzero,Max_weight,CF_actual,CF_target,CF_satisfied,TE_ann,Converged
2013,337,260,0.05592630058860891,81.19659015793022,81.19659015793022,True,0.0004235866502831607,True
2014,348,293,0.042305771674950324,75.75102677839652,75.75102677839652,True,0.00044116376982393263,True
2015,364,318,0.05175786697889733,63.99048192221017,63.99048192221017,True,0.00041760532254268184,True
2016,381,322,0.042009359035979216,69.07522358380065,69.07522358380064,True,0.0004171505579737373,True
2017,400,345,0.04165907712190594,56.485311766473494,56.48531176647348,True,0.0003982523381375997,True
2018,436,380,0.04878812929697707,47.40817582940535,47.40817582940536,True,0.0003100801583348304,True
2019,503,420,0.051453772278507004,47.77655375364444,47.77655375364446,True,0.0003480179503366564,True
2020,532,434,0.060805542725304834,36.344602439583525,36.34460243958352,True,0.0003537195189815167,True
2021,560,448,0.06831153656204525,32.936539649206104,32.936539649206104,True,0.00028426807778644705,True
2022,570,452,0.07096490579435892,26.870942146870036,26.87094214687004,True,0.0002639097066949634,True
2023,570,446,0.06902303029721946,29.108343224698125,29.10834322469812,True,0.00028902076915890955,True
2024,568,469,0.08429765199545501,25.194487707110984,25.19448770711098,True,0.00026379620105383884,True
