year,month,RF,RF_monthly
2016,4,0.01,0.0001
2016,5,0.01,0.0001
2016,6,0.02,0.0002
2016,7,0.02,0.0002
2016,8,0.02,0.0002
2016,9,0.02,0.0002
2016,10,0.02,0.0002
2016,11,0.01,0.0001
2016,12,0.03,0.0003
2017,1,0.04,0.0004
2017,2,0.04,0.0004
2017,3,0.03,0.0003
2017,4,0.05,0.0005
2017,5,0.06,0.0006
2017,6,0.06,0.0006
2017,7,0.07,0.0007000000000000001
2017,8,0.09,0.0009
2017,9,0.09,0.0009
2017,10,0.09,0.0009
2017,11,0.08,0.0008
2017,12,0.09,0.0009
2018,1,0.12,0.0012
2018,2,0.11,0.0011
2018,3,0.11,0.0011
2018,4,0.14,0.0014000000000000002
2018,5,0.14,0.0014000000000000002
2018,6,0.14,0.0014000000000000002
2018,7,0.16,0.0016
2018,8,0.16,0.0016
2018,9,0.15,0.0015
2018,10,0.19,0.0019
2018,11,0.18,0.0018
2018,12,0.2,0.002
2019,1,0.21,0.0021
2019,2,0.18,0.0018
2019,3,0.19,0.0019
2019,4,0.21,0.0021
2019,5,0.21,0.0021
2019,6,0.18,0.0018
2019,7,0.19,0.0019
2019,8,0.16,0.0016
2019,9,0.18,0.0018
2019,10,0.16,0.0016
2019,11,0.12,0.0012
2019,12,0.14,0.0014000000000000002
2020,1,0.13,0.0013
2020,2,0.12,0.0012
2020,3,0.13,0.0013
2020,4,0.0,0.0
2020,5,0.01,0.0001
2020,6,0.01,0.0001
2020,7,0.01,0.0001
2020,8,0.01,0.0001
2020,9,0.01,0.0001
2020,10,0.01,0.0001
2020,11,0.01,0.0001
2020,12,0.01,0.0001
2021,1,0.01,0.0001
2021,2,0.0,0.0
2021,3,0.0,0.0
2021,4,0.0,0.0
2021,5,0.0,0.0
2021,6,0.0,0.0
2021,7,0.0,0.0
2021,8,0.0,0.0
2021,9,0.0,0.0
2021,10,0.0,0.0
2021,11,0.0,0.0
2021,12,0.01,0.0001
2022,1,0.0,0.0
2022,2,0.0,0.0
2022,3,0.01,0.0001
2022,4,0.01,0.0001
2022,5,0.03,0.0003
2022,6,0.06,0.0006
2022,7,0.08,0.0008
2022,8,0.19,0.0019
2022,9,0.19,0.0019
2022,10,0.23,0.0023
2022,11,0.29,0.0029
2022,12,0.33,0.0033
2023,1,0.35,0.0034999999999999996
2023,2,0.34,0.0034000000000000002
2023,3,0.36,0.0036
2023,4,0.35,0.0034999999999999996
2023,5,0.36,0.0036
2023,6,0.4,0.004
2023,7,0.45,0.0045000000000000005
2023,8,0.45,0.0045000000000000005
2023,9,0.43,0.0043
2023,10,0.47,0.004699999999999999
2023,11,0.44,0.0044
2023,12,0.43,0.0043
2024,1,0.47,0.004699999999999999
2024,2,0.42,0.0042
2024,3,0.43,0.0043
2024,4,0.47,0.004699999999999999
2024,5,0.44,0.0044
2024,6,0.41,0.0040999999999999995
2024,7,0.45,0.0045000000000000005
2024,8,0.48,0.0048
2024,9,0.4,0.004
2024,10,0.39,0.0039000000000000003
2024,11,0.4,0.004
2024,12,0.37,0.0037
2025,1,0.37,0.0037
2025,2,0.33,0.0033
2025,3,0.34,0.0034000000000000002
2025,4,0.35,0.0034999999999999996
2025,5,0.38,0.0038
2025,6,0.34,0.0034000000000000002
2025,7,0.34,0.0034000000000000002
2025,8,0.38,0.0038
2025,9,0.33,0.0033
2025,10,0.37,0.0037
2025,11,0.3,0.003
2025,12,0.34,0.0034000000000000002
