Portfolio,Ann. Return,Ann. Vol.,CAGR,Sharpe Ratio,Min Monthly,Max Monthly,Avg RF (ann.)
P(vw),0.13303639540345336,0.14209410059136568,0.13008587903033608,0.813273703288956,-0.1219135599506457,0.1269328555091932,0.017474999999999942
P(vw)_oos(0.5),0.12483737657605795,0.14596182178811104,0.12029948762431575,0.7355510863101803,-0.1399366176527821,0.1346944826856868,0.017474999999999942
P(vw)_oos(NZ),0.12685518193890416,0.14499504034251673,0.12271835420569355,0.7543718852763462,-0.13635502521175366,0.13695033125204661,0.017474999999999942
