Year,ISIN,Weight
2013,AN8068571086,0.004043903931450997
2013,CA00208D4084,0.001518541431713469
2013,CA0084741085,0.002765655030108179
2013,CA00900Q1037,0.00010925117516627122
2013,CA05534B7604,0.0021774033045215842
2013,CA0636711016,0.0025829956438645925
2013,CA0641491075,0.007027009024558305
2013,CA1247651088,0.00023057159314688323
2013,CA12532H1047,1.5572623738613072e-05
2013,CA13321L1085,0.00012510815859247858
2013,CA1360691010,0.0006407456646992012
2013,CA1363751027,0.007144997802336756
2013,CA13646K1084,0.004024230300675133
2013,CA1366812024,5.7533371087762365e-05
2013,CA2849025093,0.0031664698532984244
2013,CA29250N1050,0.0036626814915649373
2013,CA2927661025,0.0028654400286001994
2013,CA3180714048,0.001550938170321905
2013,CA3759161035,9.001160884444386e-05
2013,CA4495861060,0.033195799483505796
2013,CA45823T1066,1.7612658034561465e-05
2013,CA5592224011,0.003968651286452371
2013,CA56501R1064,0.008121082449768686
2013,CA7800871021,0.006346262085456987
2013,CA8029121057,0.0008698100958856341
2013,CA8667961053,0.0019628999526179413
2013,CA8672241079,0.0014921935128051694
2013,CA87807B1076,0.0002678376115926097
2013,CA8787422044,0.002999003593186335
2013,CA87971M1032,0.002959265475347228
2013,CA8849038085,0.002851336368758346
2013,CA8911605092,0.005679093100586852
2013,CA8959451037,3.853860236371001e-06
2013,CA98462Y1007,3.0921794319129634e-05
2013,GB0022569080,0.00047148303575001186
2013,LR0008862868,3.0248347956821646e-05
2013,PA1436583006,0.005889344163467472
2013,US0010551028,0.001489038306170708
2013,US00206R1023,0.01540181969519576
2013,US0028241000,0.004893802503939963
2013,US0028962076,0.003200340558963187
2013,US00724F1012,0.0012422957788428266
2013,US00846U1016,4.780524556045681e-05
2013,US0091581068,5.183010800140683e-06
2013,US00971T1016,0.0001308101606610926
2013,US0200021014,0.006052151881015207
2013,US02079K3059,0.014336827946890996
2013,US02209S1033,0.008685185317453874
2013,US0258161092,0.007168341268200506
2013,US0268747849,0.006421178981732954
2013,US03027X1000,0.002767181881879879
2013,US0311621009,0.0029651816959424997
2013,US0326541051,9.703935243125343e-05
2013,US0367521038,0.0008785530648645671
2013,US03743Q1085,0.0004760023421176024
2013,US0378331005,0.04021314228946616
2013,US0382221051,2.1290059606213277e-05
2013,US0527691069,0.0031424636969090117
2013,US0530151036,1.5647214652604976e-06
2013,US0534841012,0.0032088042671799726
2013,US0536111091,4.011017091227211e-05
2013,US0605051046,0.010685236151050175
2013,US0640581007,0.0005051350098646568
2013,US0718131099,0.0031992561573356455
2013,US0758871091,0.00539974284258803
2013,US0865161014,0.00014272252248846983
2013,US09062X1037,0.003651506707236623
2013,US0970231058,0.0005202309546181767
2013,US1011371077,0.00024313495266528788
2013,US1101221083,0.009360837958982803
2013,US12504L1098,0.0005602852631226466
2013,US1255231003,0.000501893529799441
2013,US1258961002,4.908754593019296e-05
2013,US1264081035,0.0002262204281375514
2013,US12653C1080,3.5831619633732582e-06
2013,US1266501006,0.006052765356230281
2013,US1270551013,4.94805070609758e-05
2013,US14040H1059,6.072444600772531e-05
2013,US1491231015,0.008517391292994817
2013,US1667641005,0.017297268712953912
2013,US1720621010,0.0005356709282540509
2013,US17275R1023,0.010945176867034776
2013,US1729674242,0.009454131750798843
2013,US1858991011,2.3485077618701606e-05
2013,US1912161007,0.0130568237244524
2013,US1924461023,0.0006757328610505923
