Year,WACI_mv
2013,889.6835673010862
2014,826.930779816113
2015,562.9569650424048
2016,568.398370016461
2017,514.1534154871497
2018,666.4444401937178
2019,537.8732965180363
2020,452.729339170732
2021,391.21831610833556
2022,341.5663857565925
2023,223.51872900823022
2024,337.2637506268583
