Date,Return
2014-01-31,-0.021981469599002247
2014-02-28,0.04044571709754352
2014-03-31,0.017018377775588175
2014-04-30,0.018316411140147086
2014-05-30,0.0007281763716720118
2014-06-30,0.007007729506423191
2014-07-31,-0.03654782635865516
2014-08-29,0.04724910597765322
2014-09-30,-0.025880159270652615
2014-10-31,0.036523469399489236
2014-11-28,0.039168061869462034
2014-12-31,0.021872656999089208
2015-01-30,0.026101897930429357
2015-02-27,-0.0032884867901506634
2015-03-31,-0.009760890392645138
2015-04-30,-0.014839112881463353
2015-05-29,0.00904893410874062
2015-06-30,-0.04323207735502206
2015-07-31,0.027666435396408298
2015-08-31,-0.036971803022963046
2015-09-30,0.0011442440473754267
2015-10-30,0.035376210056470035
2015-11-30,-0.006417239051079849
2015-12-31,0.018841738186435072
2016-01-29,0.014988971960238845
2016-02-29,0.04215776647879517
2016-03-31,0.05944059685701178
2016-04-29,0.01889182412472303
2016-05-31,0.009103103296787736
2016-06-30,0.08892786383724174
2016-07-29,0.014360785492214178
2016-08-31,-0.03908699825825717
2016-09-30,-0.011600009797434637
2016-10-31,-0.00871886057220672
2016-11-30,-0.02051587460786098
2016-12-30,0.028577925994975956
2017-01-31,0.009764989925121741
2017-02-28,0.03724145000895905
2017-03-31,0.00031044594156960767
2017-04-28,0.020743054465702748
2017-05-31,0.025210638312996986
2017-06-30,-0.015575815460283074
2017-07-31,0.010480696279901277
2017-08-31,0.007499230168749071
2017-09-29,-0.012440140036648274
2017-10-31,0.027068007362739996
2017-11-30,0.047605055847702034
2017-12-29,0.002663103267619
2018-01-31,0.04074465674098552
2018-02-28,-0.08805857345826067
2018-03-30,-0.00531291757468206
2018-04-30,0.0021407107399839947
2018-05-31,0.0057994909600532045
2018-06-29,0.009458070962783945
2018-07-31,0.010590375879380907
2018-08-31,0.014336817747190193
2018-09-28,-0.001739827572004108
2018-10-31,-0.007819466981595954
2018-11-30,0.008078874322867809
2018-12-31,-0.07914007900275626
2019-01-31,0.03304224355278346
2019-02-28,0.041984795260570286
2019-03-29,0.038253491040305766
2019-04-30,0.03512993961319967
2019-05-31,-0.019124499267189243
2019-06-28,0.054129511958233185
2019-07-31,0.03277518500991955
2019-08-30,0.021972613951676472
2019-09-30,0.0035041396457601917
2019-10-31,-0.019638619896838194
2019-11-29,0.01697180260505393
2019-12-31,0.025982529740142972
2020-01-31,0.005903720136342322
2020-02-28,-0.08502831240234801
2020-03-31,-0.10084903245342708
2020-04-30,0.10803131627367221
2020-05-29,0.02896437737008848
2020-06-30,-0.016367447823579115
2020-07-31,0.05411917632187956
2020-08-31,0.02160045597546179
2020-09-30,0.0016230335185913201
2020-10-30,-0.03669058242509635
2020-11-30,0.047640327453891365
2020-12-31,0.03468161671029307
2021-01-29,0.0031771884957556896
2021-02-26,-0.0055259563901194405
2021-03-31,0.09752719993945043
2021-04-30,0.0163490474920179
2021-05-31,0.028078659965484913
2021-06-30,-0.00346801602253867
2021-07-30,0.025739940151526086
2021-08-31,0.018886069742730202
2021-09-30,-0.05338244950585913
2021-10-29,0.05310232379651911
2021-11-30,-0.028876980882226923
2021-12-31,0.08950263629871948
2022-01-31,-0.032231415478047906
2022-02-28,-0.005646180058135499
2022-03-31,0.06726786254538848
2022-04-29,-0.05461452485822845
2022-05-31,0.01669894389748337
2022-06-30,-0.056394336648729476
2022-07-29,0.0421473161890595
2022-08-31,-0.02409820904174638
2022-09-30,-0.06136750908428765
2022-10-31,0.06264865849447626
2022-11-30,0.056948981932710835
2022-12-30,-0.041148464192495356
2023-01-31,0.03335432506762117
2023-02-28,-0.017047147795496237
2023-03-31,0.02259044650781329
2023-04-28,0.017296575880646994
2023-05-31,-0.04105367497441781
2023-06-30,0.023202916527366647
2023-07-31,0.0012756052183528585
2023-08-31,-0.00218613180847807
2023-09-29,-0.051253392472507514
2023-10-31,-0.025451193166898145
2023-11-30,0.046496004093535444
2023-12-29,0.026118082667230272
2024-01-31,0.0024783550997516763
2024-02-29,0.019192906110864022
2024-03-29,0.017367288179892852
2024-04-30,-0.018367380231610428
2024-05-31,0.015485730206492309
2024-06-28,0.006636801521559115
2024-07-31,0.028030684679140827
2024-08-30,0.053830949342780085
2024-09-30,-0.0008794103746637411
2024-10-31,-0.05823167963358105
2024-11-29,0.023048518809236893
2024-12-31,-0.04376650518292408
2025-01-31,-0.017935994810751615
2025-02-28,0.03881157226727921
2025-03-31,0.0161546064199423
2025-04-30,0.003607677804352767
2025-05-30,-0.003984851732965096
2025-06-30,0.009178406658739072
2025-07-31,0.015219661255003845
2025-08-29,0.017451766794379736
2025-09-30,-0.003495941442989525
2025-10-31,-0.0005795401985664191
2025-11-28,0.08816946965899464
2025-12-31,-0.0035860183425317515
