Year,N_firms,N_nonzero_wts,Max_weight,Min_var_monthly,Ann_vol_insample,Neg_eigvals_clipped,Opt_success
2013,337,26,0.13030981576291625,0.0004383023135877704,0.07252329117637481,14,True
2014,348,25,0.12466478185966283,0.00046739717727946263,0.07489169598395774,7,True
2015,364,25,0.1447355526039421,0.0004920343778940437,0.07684017526482174,4,True
2016,381,27,0.1271558178249789,0.0005611473574142048,0.08205954112088647,5,True
2017,400,29,0.12277389846686111,0.0005273046231574323,0.07954656169746865,4,True
2018,436,37,0.10922697407203735,0.00044751255780393423,0.07328131203551974,6,True
2019,503,40,0.06729111572366073,0.00031329575436209146,0.06131516168408184,7,True
2020,532,36,0.09015164312324946,0.0004078156440995652,0.06995561256393072,8,True
2021,560,36,0.07849123405803475,0.0004303002465329927,0.07185821427224526,9,True
2022,570,33,0.10073309562342053,0.0005448690926796583,0.08086055349894596,9,True
2023,570,32,0.10803635530030568,0.0005185908598056902,0.07888656614195019,7,True
2024,568,30,0.1242332388793912,0.0005620283327344184,0.08212393069509655,10,True
