Portfolio,Ann. Return,Ann. Vol.,CAGR,Sharpe Ratio,Min Monthly,Max Monthly,Avg RF (ann.)
P(mv)_oos,0.0992398418372071,0.12316050817263087,0.09560798491407962,0.6638884740764428,-0.100849032453427,0.1080313162736722,0.017474999999999942
P(mv)_oos(0.5),0.09925770522331806,0.12176711374538489,0.09581854965697922,0.6716321238780923,-0.09124089558794712,0.10869715920548959,0.017474999999999942
P(vw),0.13303639540345336,0.14209410059136568,0.13008587903033608,0.813273703288956,-0.1219135599506457,0.1269328555091932,0.017474999999999942
P(vw)_oos(0.5),0.12483737657605813,0.14596182178811118,0.12029948762431597,0.7355510863101807,-0.1399366176527821,0.13469448268568682,0.017474999999999942
