Year,ISIN,Weight
2013,AN8068571086,0.009157549285446442
2013,CA00208D4084,0.0006785377153871066
2013,CA0084741085,0.00035626425001904785
2013,CA00900Q1037,0.00024685257371530653
2013,CA05534B7604,0.0026112192470122983
2013,CA0636711016,0.0033381226633419844
2013,CA0641491075,0.005874988332138062
2013,CA0977518616,0.0004868566176594194
2013,CA1247651088,0.0002584632026213846
2013,CA12532H1047,0.0007170014217524484
2013,CA13321L1085,0.0006376898500196934
2013,CA1360691010,0.002646029367688127
2013,CA1363751027,0.0036888894329363013
2013,CA1363851017,0.0028572260545084156
2013,CA13646K1084,0.0020617549404491147
2013,CA1366812024,0.000558882784055554
2013,CA2849025093,0.0003159605357117747
2013,CA29250N1050,0.0028129259393437412
2013,CA2927661025,0.000285875200955278
2013,CA3180714048,0.0003416491299023382
2013,CA3359341052,0.0008273575888248617
2013,CA3759161035,0.0005050102743843553
2013,CA4495861060,0.001035119905097008
2013,CA4530384086,0.0029170352522457444
2013,CA45823T1066,0.0006676111620994907
2013,CA4969024047,0.0003893058797494207
2013,CA5592224011,0.0014173518210646053
2013,CA56501R1064,0.0028271360555999743
2013,CA59151K1084,0.00044139823809530353
2013,CA6744822033,0.00031783630215194387
2013,CA7392391016,0.0009615918817748862
2013,CA7751092007,0.0014148860394035128
2013,CA7800871021,0.00752877767562689
2013,CA8029121057,0.000687886230600316
2013,CA85472N1096,0.0002242174443307871
2013,CA8667961053,0.0016668170972272424
2013,CA8672241079,0.00405644170801863
2013,CA87807B1076,0.0025111529764871372
2013,CA8787422044,0.0011467602686713522
2013,CA87971M1032,0.001667144365221984
2013,CA8849038085,0.002418068164063575
2013,CA8911605092,0.00673424561082566
2013,CA89346D1078,0.0002645444793977805
2013,CA8959451037,0.00014141553222656101
2013,CA98462Y1007,0.0005045842818401312
2013,GB0022569080,0.0005117072192173669
2013,LR0008862868,0.0008107446569587801
2013,PA1436583006,0.0018483661022151185
2013,US0010551028,0.0023856188816300974
2013,US00130H1059,0.0008216432253347318
2013,US00206R1023,0.014283662158805013
