,CF_nz,WACI_nz
2013,146.1538622842744,220.70259386263768
2014,131.53847605584698,197.52429645332597
2015,118.3846284502623,181.9969610754226
2016,100.11377002826983,174.76286054339792
2017,94.17535005579705,184.46587982551068
2018,86.30239414024123,145.62200824028542
2019,77.67215472621709,136.95594798559767
2020,69.50122489287747,139.1047235415684
2021,62.91444532823583,116.05044831268393
2022,51.630122125485705,99.88481961118379
2023,50.74043666007145,88.37967810180604
2024,45.864630644283935,75.33301263032556
