Date,Return
2014-01-31,-0.03619755837752392
2014-02-28,0.042955683106466656
2014-03-31,0.014988591298714259
2014-04-30,0.010729964120390937
2014-05-30,0.01980544796546954
2014-06-30,0.023414190827781657
2014-07-31,-0.011186934977017733
2014-08-29,0.03618728467285246
2014-09-30,-0.016751268318665875
2014-10-31,0.020471602455131424
2014-11-28,0.025325917788264374
2014-12-31,-0.003563901644513876
2015-01-30,-0.037406788364597876
2015-02-27,0.055868784339879365
2015-03-31,-0.018492413932425136
2015-04-30,0.012916469092542755
2015-05-29,0.007438944613703878
2015-06-30,-0.022113280619762372
2015-07-31,0.011787673573726842
2015-08-31,-0.061338712926071896
2015-09-30,-0.021379569247773372
2015-10-30,0.07789429942899682
2015-11-30,0.0016515622749652457
2015-12-31,-0.020844251234575183
2016-01-29,-0.04613117184478631
2016-02-29,0.000864550699640922
2016-03-31,0.07410991773083392
2016-04-29,0.006260991039633373
2016-05-31,0.01176419000517504
2016-06-30,0.005498965605144218
2016-07-29,0.035879345225354006
2016-08-31,0.0005951144366172593
2016-09-30,-0.00012847113888216077
2016-10-31,-0.015119482261259356
2016-11-30,0.04239323216542267
2016-12-30,0.023508520436736888
2017-01-31,0.014550780314930855
2017-02-28,0.03793473693896772
2017-03-31,-0.0013311949510409404
2017-04-28,0.006500403887785397
2017-05-31,0.012450090203883466
2017-06-30,0.009756866153801218
2017-07-31,0.01937238129335871
2017-08-31,0.004921347303279252
2017-09-29,0.02428836838208155
2017-10-31,0.025838834613023914
2017-11-30,0.03279648381030027
2017-12-29,0.014629035178735419
2018-01-31,0.04652930516090519
2018-02-28,-0.040587199004936805
2018-03-30,-0.0222264059072874
2018-04-30,0.003263669332688432
2018-05-31,0.020712820663161755
2018-06-29,0.0022073357095412503
2018-07-31,0.04220294706216351
2018-08-31,0.028253820803583355
2018-09-28,0.008268018913401325
2018-10-31,-0.05871200603665351
2018-11-30,0.01855690303793986
2018-12-31,-0.0921181090875369
2019-01-31,0.08040987857854165
2019-02-28,0.03278720638259303
2019-03-29,0.017147728920002804
2019-04-30,0.03755001977410807
2019-05-31,-0.06414139058147295
2019-06-28,0.07212137333175073
2019-07-31,0.014610489009133427
2019-08-30,-0.016596596030580446
2019-09-30,0.022915480811170903
2019-10-31,0.017913646439089936
2019-11-29,0.03668905862923591
2019-12-31,0.03250806223196648
2020-01-31,-0.001733081983273578
2020-02-28,-0.08497275773994761
2020-03-31,-0.12191355995064578
2020-04-30,0.12693285550919328
2020-05-29,0.04051703625809329
2020-06-30,0.023608039945136976
2020-07-31,0.05429453847956663
2020-08-31,0.07418973887121982
2020-09-30,-0.038320777084492275
2020-10-30,-0.029314023919568985
2020-11-30,0.10841630783049175
2020-12-31,0.037267730208785745
2021-01-29,-0.00844847407425154
2021-02-26,0.02424066663044086
2021-03-31,0.04942633709822086
2021-04-30,0.04852569927726545
2021-05-31,0.009877540541889948
2021-06-30,0.019570525252927903
2021-07-30,0.019371917493410763
2021-08-31,0.02620067052570659
2021-09-30,-0.0439583061795872
2021-10-29,0.0701405461812305
2021-11-30,-0.0021610670636101857
2021-12-31,0.04731751427078244
2022-01-31,-0.04071216613575518
2022-02-28,-0.021767789082043194
2022-03-31,0.03549749288589488
2022-04-29,-0.0773326356993358
2022-05-31,0.004327594908015113
2022-06-30,-0.08283372332399462
2022-07-29,0.08874669477263597
2022-08-31,-0.03843999072673558
2022-09-30,-0.09308202498933164
2022-10-31,0.08834102585178083
2022-11-30,0.05668939839994134
2022-12-30,-0.05459745745840186
2023-01-31,0.05695831639502919
2023-02-28,-0.029105267099121566
2023-03-31,0.03298827082091063
2023-04-28,0.01986585602904516
2023-05-31,-0.004078134581792072
2023-06-30,0.06358934923292184
2023-07-31,0.030024412281247304
2023-08-31,-0.01714483825436726
2023-09-29,-0.048462143382939166
2023-10-31,-0.019095361697601544
2023-11-30,0.08685137880590732
2023-12-29,0.04319337491196645
2024-01-31,0.017183496302254322
2024-02-29,0.045852295974883814
2024-03-29,0.037256085116260405
2024-04-30,-0.040389585605732074
2024-05-31,0.0520469831976606
2024-06-28,0.031392790609576934
2024-07-31,0.013107696959826994
2024-08-30,0.022911066176472365
2024-09-30,0.01573449414689096
2024-10-31,-0.011013902333592198
2024-11-29,0.056444399170770376
2024-12-31,-0.036627646690159
2025-01-31,0.019683191237568752
2025-02-28,-0.0026808654310804874
2025-03-31,-0.05187720804175813
2025-04-30,-0.014112380532396357
2025-05-30,0.051975691299630866
2025-06-30,0.05134120840187581
2025-07-31,0.0258163992525506
2025-08-29,0.021426963954684842
2025-09-30,0.029338565174837093
2025-10-31,0.027432022500016362
2025-11-28,0.0042204222310283845
2025-12-31,0.006845683239302815
