,CF_mv05,CF_te05,WACI_mv05,WACI_te05
2013,237.00497309558074,81.19659015793022,346.42536235848553,142.33351518675232
2014,223.02080957166385,75.75102677839652,347.88024380706645,121.00294989121738
2015,135.25704211516307,63.99048192221019,219.18917500715014,98.63137177578244
2016,126.10848719101944,69.07522358380065,234.7003975397203,108.17869977431894
2017,127.55229450314955,56.48531176647349,202.3743180857547,106.83564326814528
2018,166.20476895277727,47.40817582940535,337.2154797726273,98.53031537663435
2019,197.37180056653128,47.77655375364445,199.08566452739868,101.87567161701915
2020,84.04684958350629,36.344602439583525,217.18961213941208,82.98218473809415
2021,60.770714344454305,32.9365396492061,273.7367891358655,82.31716005913677
2022,54.235126388024,26.870942146870036,148.33069067997235,81.39734240938505
2023,48.660368394041456,29.108343224698125,117.35080105763211,60.771135383717386
2024,83.94328629430827,25.19448770711098,150.6981784930977,52.76374033184321
