Year,N_firms,N_nonzero,Max_weight,CF_actual,CF_target,CF_satisfied,Converged,Ann_vol_ins
2013,337,25,0.13764307358793237,237.00497309558077,237.0049730955807,True,True,0.07255129181396405
2014,348,25,0.1351731531574316,223.02080957166385,223.02080957166385,True,True,0.0750431475063485
2015,364,23,0.15897758162625392,135.25704211516305,135.25704211516307,True,True,0.07684976772677635
2016,381,27,0.13260150023893388,126.10848719101944,126.10848719101926,True,True,0.08209407009645715
2017,400,29,0.13511235422038204,127.55229450314955,127.5522945031495,True,True,0.07968000161148069
2018,436,34,0.11138899734695219,166.20476895277724,166.20476895277727,True,True,0.07352866017231678
2019,503,34,0.09286532068917287,197.3718005665313,197.37180056653125,True,True,0.061735040021504546
2020,532,33,0.10117615934152326,84.04684958350629,84.04684958350603,True,True,0.0706725373136596
2021,560,37,0.08089966862197706,60.77071434445431,60.77071434445432,True,True,0.07232075729036355
2022,570,31,0.09670763904150746,54.23512638802399,54.23512638802398,True,True,0.08120696888297396
2023,570,29,0.1089162423285411,48.66036839404145,48.66036839404122,True,True,0.07905635260648601
2024,568,33,0.12164486984542086,83.94328629430828,83.94328629430822,True,True,0.08242472346020487
