Year,CF_vw
2013,162.39318031586043
2014,151.50205355679304
2015,127.98096384442034
2016,138.15044716760127
2017,112.97062353294696
2018,94.81635165881073
2019,95.55310750728891
2020,72.68920487916704
2021,65.87307929841221
2022,53.74188429374008
2023,58.21668644939624
2024,50.38897541422196
