Year,WACI_vw
2013,238.3640690658337
2014,234.16193105612209
2015,224.32170636621095
2016,231.70004180505197
2017,232.92380380760096
2018,197.97626055691853
2019,200.77227865567656
2020,178.28172059705778
2021,169.9761040767773
2022,141.4000507430208
2023,122.35664350461072
2024,106.84683291818249
